OFFICE TYPE,SITE NAME,ALTERNATIVE NAME,ADDRESS,SUBURB,STATE,POSTCODE,LATITUDE,LONGITUDE,Open,Close,Closed for lunch/Office Notes
Centrelink Customer Service Centre,Albury,,430 Wilson Street,Albury,NSW,2640,-36.07727,146.92370,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Townsville Jobseekers,,307 Ross River Road,Aitkenvale,QLD,4814,-19.29713,146.76441,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Albany,,15 Peels Place,Albany,WA,6330,-35.02591,117.88466,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Alice Springs,,5 Railway Terrace,Alice Springs,NT,870,-23.69590,133.88036,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Tangentyere,,4 Elder Street,Alice Springs,NT,870,-23.69924,133.87184,08:30:00,15:00:00,12:00:00 to 13:00:00
Centrelink Customer Service Centre,Armadale (WA),,40-42 William Street,Armadale,WA,6112,-32.15567,116.01372,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Ararat,,45-47 King Street (Cnr King & High Sts),Ararat,VIC,3377,-37.28326,142.93661,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Seniors & Carers Robina,,"Level 5, Robina Town Centre, 19-33 Robina Town Centre Drive",Robina,QLD,4230,-28.07749,153.38539,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Armidale (NSW),,246-248 Beardy Street,Armidale,NSW,2350,-30.51246,151.66191,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Atherton,,3 Cook Street,Atherton,QLD,4883,-17.26322,145.47927,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Auburn,,5-9 Macquarie Road,Auburn,NSW,2144,-33.84777,151.03332,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Ayr,,100 MacMillan Street,Ayr,QLD,4807,-19.57682,147.40660,08:30:00,16:30:00,12:30:00 to 13:30:00
Centrelink Customer Service Centre,Ballarat,,4-12 Albert Street,Ballarat,VIC,3350,-37.56333,143.85849,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Bankstown,,"G, L1 & 4, 2-14 Meredith Street",Bankstown,NSW,2200,-33.91720,151.03111,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Baulkham Hills,,7 Seven Hills Road,Baulkham Hills,NSW,2153,-33.76209,150.99159,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Bundaberg,,26 Woongarra Street,Bundaberg,QLD,4670,-24.86614,152.35411,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Beaudesert,,33 William Street,Beaudesert,QLD,4285,-27.99026,152.99889,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Beenleigh,,Stock Yard Lane,Beenleigh,QLD,4207,-27.71957,153.20658,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Bega,,49-61 Church Street,Bega,NSW,2550,-36.67370,149.84170,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Bendigo,,231-245 Lyttleton Terrace,Bendigo,VIC,3550,-36.75950,144.28262,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Berri,,5 Riverview Drive,Berri,SA,5343,-34.28789,140.60191,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Bathurst,,166 -168 Russell St,Bathurst,NSW,2795,-33.41674,149.57715,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Burnie,,23 Marine Terrace,Burnie,TAS,7320,-41.05438,145.90715,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Biggera Waters,,95 Brisbane Street,Biggera Waters,QLD,4216,-27.93545,153.39615,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Biloela,,49 Grevillea Street,Biloela,QLD,4715,-24.40099,150.51371,08:30:00,16:30:00,12:30:00 to 13:30:00
Centrelink Customer Service Centre,Broken Hill,,180 Beryl Street,Broken Hill,NSW,2880,-31.95784,141.46209,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Blacktown,,8 First Avenue (ground floor),Blacktown,NSW,2148,-33.76838,150.91110,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Belconnen,,"Level 1, Northpoint Plaza 8 Chandler Street",Belconnen,ACT,2617,-35.23784,149.06879,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Belgrave,,1657-1661 Burwood Highway,Belgrave,VIC,3160,-37.90906,145.35402,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Ballina,,117-121 Tamar Street,Ballina,NSW,2478,-28.86713,153.55671,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Batemans Bay,,3 Flora Crescent,Batemans Bay,NSW,2536,-35.70976,150.17865,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Broome,,14 Napier Terrace,Broome,WA,6725,-17.95464,122.24006,08:00:00,16:00:00,No
Centrelink Customer Service Centre,Bondi Junction,,19-23 Hollywood Avenue,Bondi Junction,NSW,2022,-33.89365,151.25128,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Boronia,,3 William Street,Boronia,VIC,3155,-37.85891,145.28449,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Bowen,,53 George Street ,Bowen,QLD,4805,-20.01501,148.24674,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Bairnsdale,,60-62 MacLeod Street,Bairnsdale,VIC,3875,-37.82674,147.63355,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Bourke,,16 Richard Street,Bourke,NSW,2840,-30.09117,145.93728,08:30:00,16:30:00,12:30:00 to 13:30:00
Centrelink Customer Service Centre,Bowral,,38 Wingecarribee Street,Bowral,NSW,2576,-34.47863,150.41925,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Brunswick Heads,,3 Fingal Street,Brunswick Heads,NSW,2483,-28.54037,153.55171,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Browns Plains,,75-87 Grand Plaza Drive,Browns Plains,QLD,4118,-27.66424,153.04325,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Moreland,,172-186 Moreland Road (ground floor),Brunswick,VIC,3056,-37.75575,144.96322,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Busselton,,65 Duchess Street,Busselton,WA,6280,-33.64833,115.34546,08:00:00,16:00:00,No
Centrelink Customer Service Centre,Burwood,,56 Railway Parade,Burwood,NSW,2134,-33.87112,151.10097,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Bunbury,,54-56 Wittenoom Street,Bunbury,WA,6230,-33.32394,115.63525,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Rosny Park,,2 Gordons Hill Road,Rosny Park,TAS,7018,-42.86619,147.37231,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Box Hill,,3-13 Harrow Street,Box Hill,VIC,3128,-37.82124,145.12382,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Byron Bay,,6 Byron Street,Byron Bay,NSW,2481,-28.64445,153.61446,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Casuarina,,50 Bradshaw Terrace,Casuarina,NT,810,-12.37187,130.88129,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Cabramatta,,251-257 Cabramatta Road,Cabramatta,NSW,2166,-33.89591,150.93409,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Camden,,16-22 Murray Street,Camden,NSW,2570,-34.05617,150.69418,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Cannington,,1290-1298 Albany Highway,Cannington,WA,6107,-32.01518,115.92928,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Capalaba,,42 Redland Bay Road,Capalaba,QLD,4157,-27.52385,153.19258,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Caringbah,,15-21 President Avenue,Caringbah,NSW,2229,-34.04258,151.12139,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Casino,,46 Hickey Street,Casino,NSW,2470,-28.86344,153.05052,08:30:00,16:30:00,Yes - Irregular Hours
Centrelink Customer Service Centre,Braddon,,13 Lonsdale Street,Braddon,ACT,2612,-35.27411,149.13225,08:30:00,16:30:00,No
Centrelink Customer Service Centre,Ceduna,,22B East Terrace (co-located in PM&C premises),Ceduna,SA,5690,-32.12374,133.67566,08:30:00,16:30:00,12:30:00 to 13:30:00
Centrelink Customer Service Centre,Cessnock,,186-194 Vincent Street,Cessnock,NSW,2325,-32.83867,151.35553,08:30:00,16:30:00,Yes - Irregular Hours
